,transactTime,transactTimeInMillis,sym,venue,exchangeOrderId,displayQty,orderQty,lastQty,leavesQty,cumQtyQty,clOrdId
303,2017-06-27 12:54:13.751227919,20170627T125413.751Z,,1,9438717546034,0,1000000,0,1000000,0,Order77231
304,2017-06-27 12:54:13.899731968,20170627T125413.899Z,,1,0,0,1000000,0,0,0,Order77232
305,2017-06-27 12:54:14.355259719,20170627T125414.355Z,,1,0,0,1000000,0,0,0,Order77235
306,2017-06-27 12:54:14.523269214,20170627T125414.523Z,,1,0,0,1000000,0,0,0,Order77236
307,2017-06-27 12:54:14.675249646,20170627T125414.675Z,,1,0,0,1000000,0,0,0,Order77237
308,2017-06-27 12:54:13.919519603,20170627T125413.919Z,,1,9438718070322,0,1000000,0,1000000,0,Order77232
309,2017-06-27 12:54:14.071019918,20170627T125414.071Z,,1,9438718594610,0,1000000,0,1000000,0,Order77233
310,2017-06-27 12:54:14.87107144,20170627T125414.871Z,,1,9438721216050,0,1000000,0,1000000,0,Order77238
311,2017-06-27 12:54:38.290947471,20170627T125438.290Z,,1,9438699195954,0,1000000,0,1000000,0,Order77187
312,2017-06-27 12:54:38.290947471,20170627T125438.290Z,,1,9438700768818,0,1000000,0,1000000,0,Order77199
313,2017-06-27 12:54:38.290947471,20170627T125438.290Z,,1,9438702341682,0,1000000,0,1000000,0,Order77202
314,2017-06-27 12:54:38.290947471,20170627T125438.290Z,,1,9438703914546,0,1000000,0,1000000,0,Order77205
315,2017-06-27 12:54:38.290947471,20170627T125438.290Z,,1,9438706011698,0,1000000,0,1000000,0,Order77209
316,2017-06-27 12:54:38.290947471,20170627T125438.290Z,,1,9438707584562,0,1000000,0,1000000,0,Order77212
317,2017-06-27 12:54:38.290947471,20170627T125438.290Z,,1,9438708108850,0,1000000,0,1000000,0,Order77213
318,2017-06-27 12:54:38.290947471,20170627T125438.290Z,,1,9438709681714,0,1000000,0,1000000,0,Order77216
319,2017-06-27 12:54:38.290947471,20170627T125438.290Z,,1,9438713351730,0,1000000,0,1000000,0,Order77223
320,2017-06-27 12:54:38.290947471,20170627T125438.290Z,,1,9438714400306,0,1000000,0,1000000,0,Order77225
321,2017-06-27 12:54:38.290947471,20170627T125438.290Z,,1,9438719118898,0,1000000,0,1000000,0,Order77234
322,2017-06-27 12:54:38.290947471,20170627T125438.290Z,,1,9438720167474,0,1000000,0,1000000,0,Order77236
323,2017-06-27 12:51:07.49106786,20170627T125107.491Z,,1,9438699195954,0,1000000,0,1000000,0,Order77187
324,2017-06-27 12:51:41.863117532,20170627T125141.863Z,,1,0,0,2000000,0,0,0,Replace77190
325,2017-06-27 12:55:27.809660497,20170627T125527.809Z,,1,0,0,1000000,0,0,0,Order77244
326,2017-06-27 12:55:28.185620945,20170627T125528.185Z,,1,0,0,1000000,0,0,0,Order77245
327,2017-06-27 12:56:33.184338776,20170627T125633.184Z,,1,0,0,1000000,0,0,0,Order77250
328,2017-06-27 12:55:27.83005484,20170627T125527.830Z,,1,9438722264626,0,1000000,0,1000000,0,Order77244
329,2017-06-27 12:55:41.063342213,20170627T125541.063Z,,1,9438722788914,0,1000000,0,1000000,0,Order77245
330,2017-06-27 12:40:46.791011451,20170627T124046.791Z,,1,3274642031634,0,1000000,0,1000000,0,GUI-cidev100005113ca0000009d
331,2017-06-27 12:41:33.492688566,20170627T124133.492Z,,1,3274642031634,0,1000000,0,1000000,0,GUI-cidev100005113ca0000009d
332,2017-06-27 12:52:33.136230781,20170627T125233.136Z,,1,9438699720242,0,2000000,0,0,0,Cancel77192
333,2017-06-27 12:52:52.549860038,20170627T125252.549Z,,1,0,0,1000000,0,0,0,Order77194
334,2017-06-27 12:51:07.472534126,20170627T125107.472Z,,1,0,0,1000000,0,0,0,Order77187
335,2017-06-27 13:02:09.962316575,20170627T130209.962Z,,1,3670193209922,0,100000000,0,100000000,0,GUI-cidev000005113ca00000091
336,2017-06-27 13:01:32.293920785,20170627T130132.293Z,,1,0,0,1000000,0,0,0,GUI-cidev000005113ca0000008d
337,2017-06-27 13:02:09.938613786,20170627T130209.938Z,,1,0,0,100000000,0,0,0,GUI-cidev000005113ca00000091
