time,transactTime,sym,venue,exchangeOrderId,displayQty,orderQty,lastQty,leavesQty,cumQty,clOrdId
2017-06-26D21:52:08.559541000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:52:08.559541000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:52:08.559541000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:52:08.559541000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:52:08.559541000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:52:08.559541000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:52:08.559541000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:52:08.559541000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:52:08.559541000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:52:08.559541000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:52:08.559541000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:52:08.559541000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:52:08.559541000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:52:08.559541000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:52:08.559541000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:52:08.559541000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:52:08.559541000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:52:08.559541000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:52:08.559541000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:52:08.559541000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:52:08.559541000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:52:08.559541000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:52:08.559541000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:52:08.559541000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:52:08.559541000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:52:08.559541000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:52:08.559541000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:52:08.559541000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:52:23.575546000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:52:23.575546000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:52:23.575546000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:52:23.575546000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:52:23.575546000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:52:23.575546000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:52:23.575546000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:54:11.582327000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:54:11.582327000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:54:11.582327000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:54:11.582327000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:54:11.582327000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:54:11.582327000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:54:11.582327000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:56:02.587035000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D21:56:02.587035000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
